entity_id,state,last_changed
sensor.alpstuga_air_quality_monitor_pm2_5_2,2.0,2026-01-15T16:00:00.000Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T16:20:00.622Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,2.0,2026-01-15T16:21:29.806Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T16:28:05.889Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,2.0,2026-01-15T16:28:55.379Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T16:30:24.555Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,2.0,2026-01-15T16:33:22.921Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T16:34:02.455Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,2.0,2026-01-15T16:34:42.144Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T16:35:51.355Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,2.0,2026-01-15T16:40:18.854Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T16:46:25.410Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,2.0,2026-01-15T16:46:54.971Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T16:47:44.632Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,2.0,2026-01-15T16:48:04.453Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T16:48:14.369Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,2.0,2026-01-15T16:49:33.604Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T16:54:00.924Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,2.0,2026-01-15T16:57:58.544Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T17:10:11.590Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,2.0,2026-01-15T17:17:27.294Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T17:18:16.969Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,2.0,2026-01-15T17:19:26.115Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T17:20:05.764Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,2.0,2026-01-15T17:22:34.280Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T17:24:43.032Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,2.0,2026-01-15T17:31:09.445Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T17:32:08.817Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,2.0,2026-01-15T17:32:18.765Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T17:33:37.954Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T18:22:39.621Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T18:23:19.112Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T18:41:18.588Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T18:42:08.200Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T18:49:43.599Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T18:50:53.048Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,2.0,2026-01-15T19:16:48.049Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T19:17:07.783Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T19:27:21.828Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T19:28:11.426Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T19:37:25.991Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T19:42:52.766Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T19:44:21.908Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T19:45:41.179Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T19:47:00.357Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T19:47:39.915Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T19:49:58.548Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T19:53:46.295Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T20:00:32.520Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T20:06:58.717Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T20:07:48.278Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T20:11:46.003Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T20:12:15.756Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T20:14:24.448Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T20:14:34.331Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T20:17:22.650Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T20:23:19.286Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T20:23:29.075Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T20:23:39.022Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T20:24:18.663Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T20:28:36.233Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T20:36:31.585Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T20:37:11.244Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T20:41:58.292Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T20:42:08.259Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T20:50:13.716Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T20:51:03.190Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T20:54:01.667Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T20:55:20.934Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T20:58:29.090Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T20:59:38.392Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T21:00:57.574Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T21:01:07.492Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T21:10:02.278Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T21:12:01.264Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T21:14:19.878Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T21:15:49.060Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T21:36:36.958Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T21:38:06.117Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T21:47:20.770Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T21:47:50.427Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T22:02:02.140Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T22:02:22.010Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T22:21:21.066Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T22:21:50.692Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T22:28:07.092Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T22:28:46.679Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T22:30:25.683Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T22:38:21.212Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T22:39:00.771Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T22:40:10.134Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T22:42:18.828Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T22:46:06.580Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T22:46:36.336Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T22:47:45.554Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T22:49:14.805Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T22:49:44.470Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T22:49:54.282Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T22:50:33.972Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T23:07:44.152Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T23:08:43.551Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T23:16:29.036Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T23:20:46.497Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T23:21:45.926Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T23:23:34.779Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T23:26:13.327Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T23:26:52.942Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T23:27:02.845Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T23:27:52.321Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T23:28:22.168Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T23:29:41.277Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T23:34:58.285Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T23:35:18.105Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T23:35:47.682Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T23:39:25.760Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T23:40:05.160Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T23:41:14.577Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T23:48:20.536Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T23:48:30.402Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T23:48:40.312Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T23:49:59.427Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T23:51:18.780Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T23:52:08.208Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T23:54:07.035Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T23:54:56.417Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-15T23:55:26.204Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-15T23:57:05.172Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T00:01:32.650Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T00:03:01.782Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T00:06:29.733Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T00:06:39.652Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T00:09:37.976Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T00:10:17.522Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T00:10:37.329Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T00:11:16.979Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T00:15:34.483Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T00:17:43.219Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T00:18:02.893Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T00:19:02.428Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T00:24:39.143Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T00:25:08.901Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T00:27:07.747Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T00:29:06.560Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T00:34:53.136Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T00:51:04.943Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T00:51:43.312Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T01:07:44.128Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T01:09:13.203Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T01:11:41.805Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T01:11:51.698Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T01:15:29.554Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T01:19:46.990Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T01:21:36.052Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T01:23:54.720Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T01:26:43.000Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T01:31:20.400Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T01:31:40.219Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T01:32:00.045Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T01:34:18.759Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T01:35:37.860Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,2.0,2026-01-16T01:43:53.066Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T01:48:30.290Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T02:57:00.468Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T02:58:49.408Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T03:06:54.704Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T03:08:54.712Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T03:37:17.339Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T03:39:25.982Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T03:48:50.443Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T03:51:19.030Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T03:56:55.801Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T03:59:04.568Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T03:59:14.511Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T03:59:24.517Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T04:00:03.868Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T04:00:43.624Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T04:03:41.870Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T04:04:11.618Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T04:06:20.403Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T04:08:29.151Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T04:08:39.046Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T04:09:38.380Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T04:11:47.087Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T04:13:26.306Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T04:13:56.046Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T04:14:35.680Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T04:18:33.399Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T04:18:53.209Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T04:22:50.952Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T04:24:30.075Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T04:24:59.698Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T04:25:19.575Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T04:26:09.185Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T04:28:47.687Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T04:29:27.151Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T04:33:05.110Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T04:35:13.823Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T04:41:00.616Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T04:42:19.764Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T04:47:46.536Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T04:48:06.278Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T04:48:55.878Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T04:51:44.405Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T04:52:53.530Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T05:05:55.990Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T05:08:44.406Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T05:17:59.014Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T05:18:08.873Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T05:20:57.326Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T05:21:26.985Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T05:24:15.416Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T05:25:04.981Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T05:33:30.072Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T05:36:38.440Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T05:38:07.463Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T05:39:36.748Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T05:41:35.670Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T05:44:53.809Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T05:45:03.668Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T05:45:33.409Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T05:46:02.982Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T05:48:11.796Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T05:48:21.711Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T05:54:08.319Z
